num-db,db,tx-type,count,duration-ms,tx-per-sec
20,13,weak-read,2340,61129.45,38.2794
20,13,write,780,61129.45,12.7598
20,14,strong-read,4656,61169.21,76.1167
20,14,weak-read,2328,61169.21,38.0584
20,14,write,776,61169.21,12.6861
20,15,strong-read,4716,61303.24,76.9290
20,15,weak-read,2358,61303.24,38.4645
20,15,write,786,61303.24,12.8215
20,16,strong-read,4716,61348.73,76.8720
20,16,weak-read,2358,61348.73,38.4360
20,16,write,786,61348.73,12.8120
20,17,strong-read,4692,61462.29,76.3395
20,17,weak-read,2346,61462.29,38.1697
20,17,write,782,61462.29,12.7232
20,18,strong-read,4626,61905.80,74.7264
20,18,weak-read,2313,61905.80,37.3632
20,18,write,771,61905.80,12.4544
20,19,strong-read,4686,61924.61,75.6727
20,19,weak-read,2343,61924.61,37.8363
20,19,write,781,61924.61,12.6121
25,0,strong-read,3726,60588.34,61.4970
25,0,weak-read,1863,60588.34,30.7485
25,0,write,621,60588.34,10.2495
25,1,strong-read,3630,60567.94,59.9327
25,1,weak-read,1815,60567.94,29.9663
25,1,write,605,60567.94,9.9888
25,2,strong-read,3648,60601.39,60.1966
25,2,weak-read,1824,60601.39,30.0983
25,2,write,608,60601.39,10.0328
25,3,strong-read,3642,60677.01,60.0227
25,3,weak-read,1821,60677.01,30.0114
25,3,write,607,60677.01,10.0038
25,4,strong-read,3696,60925.04,60.6647
25,4,weak-read,1848,60925.04,30.3324
25,4,write,616,60925.04,10.1108
25,5,strong-read,3624,60928.58,59.4795
25,5,weak-read,1812,60928.58,29.7397
25,5,write,604,60928.58,9.9132
25,6,strong-read,3720,61001.65,60.9820
25,6,weak-read,1860,61001.65,30.4910
25,6,write,620,61001.65,10.1637
25,7,strong-read,3708,61015.39,60.7716
25,7,weak-read,1854,61015.39,30.3858
25,7,write,618,61015.39,10.1286
25,8,strong-read,3594,61049.99,58.8698
25,8,weak-read,1797,61049.99,29.4349
25,8,write,599,61049.99,9.8116
25,9,strong-read,3690,61035.89,60.4562
25,9,weak-read,1845,61035.89,30.2281
25,9,write,615,61035.89,10.0760
25,10,strong-read,3666,61059.56,60.0397
25,10,weak-read,1833,61059.56,30.0199
25,10,write,611,61059.56,10.0066
25,11,strong-read,3708,61070.14,60.7171
25,11,weak-read,1854,61070.14,30.3585
25,11,write,618,61070.14,10.1195
25,12,strong-read,3594,61097.97,58.8236
25,12,weak-read,1797,61097.97,29.4118
25,12,write,599,61097.97,9.8039
25,13,strong-read,3654,61147.10,59.7575
25,13,weak-read,1827,61147.10,29.8788
25,13,write,609,61147.10,9.9596
25,14,strong-read,3720,61175.79,60.8084
25,14,weak-read,1860,61175.79,30.4042
25,14,write,620,61175.79,10.1347
25,15,strong-read,3720,61179.50,60.8047
25,15,weak-read,1860,61179.50,30.4023
25,15,write,620,61179.50,10.1341
25,16,strong-read,3624,61193.54,59.2219
25,16,weak-read,1812,61193.54,29.6110
25,16,write,604,61193.54,9.8703
25,17,strong-read,3732,61270.21,60.9105
25,17,weak-read,1866,61270.21,30.4553
25,17,write,622,61270.21,10.1518
25,18,strong-read,3720,61344.50,60.6411
25,18,weak-read,1860,61344.50,30.3206
25,18,write,620,61344.50,10.1069
25,19,strong-read,3648,61339.64,59.4721
25,19,weak-read,1824,61339.64,29.7361
25,19,write,608,61339.64,9.9120
25,20,strong-read,3696,61428.95,60.1671
25,20,weak-read,1848,61428.95,30.0835
25,20,write,616,61428.95,10.0278
25,21,strong-read,3708,61488.79,60.3037
25,21,weak-read,1854,61488.79,30.1518
25,21,write,618,61488.79,10.0506
25,22,strong-read,3648,61575.17,59.2447
25,22,weak-read,1824,61575.17,29.6223
25,22,write,608,61575.17,9.8741
25,23,strong-read,3762,62770.41,59.9327
25,23,weak-read,1881,62770.41,29.9663
25,23,write,627,62770.41,9.9888
25,24,strong-read,3618,63007.59,57.4217
25,24,weak-read,1809,63007.59,28.7108
25,24,write,603,63007.59,9.5703
30,0,strong-read,3066,61703.09,49.6896
30,0,weak-read,1533,61703.09,24.8448
30,0,write,511,61703.09,8.2816
30,1,strong-read,2976,62065.55,47.9493
30,1,weak-read,1488,62065.55,23.9747
30,1,write,496,62065.55,7.9916
30,2,strong-read,2982,62184.70,47.9539
30,2,weak-read,1491,62184.70,23.9770
30,2,write,497,62184.70,7.9923
30,3,strong-read,2970,62202.40,47.7474
30,3,weak-read,1485,62202.40,23.8737
30,3,write,495,62202.40,7.9579
30,4,strong-read,3030,62205.22,48.7097
30,4,weak-read,1515,62205.22,24.3549
30,4,write,505,62205.22,8.1183
30,5,strong-read,2928,62250.06,47.0361
30,5,weak-read,1464,62250.06,23.5180
30,5,write,488,62250.06,7.8393
30,6,strong-read,3042,62980.64,48.3006
30,6,weak-read,1521,62980.64,24.1503
30,6,write,507,62980.64,8.0501
30,7,strong-read,3072,63008.11,48.7556
30,7,weak-read,1536,63008.11,24.3778
30,7,write,512,63008.11,8.1259
30,8,strong-read,3042,63118.95,48.1947
30,8,weak-read,1521,63118.95,24.0974
30,8,write,507,63118.95,8.0325
30,9,strong-read,2988,63550.98,47.0174
30,9,weak-read,1494,63550.98,23.5087
30,9,write,498,63550.98,7.8362
30,10,strong-read,3108,63706.30,48.7864
30,10,weak-read,1554,63706.30,24.3932
30,10,write,518,63706.30,8.1311
30,11,strong-read,2994,63834.58,46.9025
30,11,weak-read,1497,63834.58,23.4512
30,11,write,499,63834.59,7.8171
30,12,strong-read,2982,63869.54,46.6889
30,12,weak-read,1491,63869.54,23.3445
30,12,write,497,63869.54,7.7815
30,13,strong-read,2976,63919.56,46.5585
30,13,weak-read,1488,63919.56,23.2793
30,13,write,496,63919.56,7.7598
30,14,strong-read,3012,63966.83,47.0869
30,14,weak-read,1506,63966.83,23.5435
30,14,write,502,63966.83,7.8478
30,15,strong-read,3042,63971.79,47.5522
30,15,weak-read,1521,63971.79,23.7761
